file,line,variables,total
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",41,"blackListTokenModel;blacklistTokenModel;email;errors;next;password;req;res;userModel;userService;validationResult",11
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",42,"blackListTokenModel;blacklistTokenModel;email;errors;next;password;req;res;user;userModel;userService;validationResult",12
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",43,"blackListTokenModel;blacklistTokenModel;email;errors;next;password;req;res;user;userModel;userService;validationResult",12
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",44,"blackListTokenModel;blacklistTokenModel;email;errors;next;password;req;res;user;userModel;userService;validationResult",12
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",45,"blackListTokenModel;blacklistTokenModel;email;errors;next;password;req;res;user;userModel;userService;validationResult",12
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",46,"blackListTokenModel;blacklistTokenModel;email;errors;next;password;req;res;user;userModel;userService;validationResult",12
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",47,"blackListTokenModel;blacklistTokenModel;email;errors;next;password;req;res;user;userModel;userService;validationResult",12
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",48,"blackListTokenModel;blacklistTokenModel;email;errors;isMatch;next;password;req;res;user;userModel;userService;validationResult",13
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",49,"blackListTokenModel;blacklistTokenModel;email;errors;isMatch;next;password;req;res;user;userModel;userService;validationResult",13
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",50,"blackListTokenModel;blacklistTokenModel;email;errors;isMatch;next;password;req;res;user;userModel;userService;validationResult",13
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",51,"blackListTokenModel;blacklistTokenModel;email;errors;isMatch;next;password;req;res;user;userModel;userService;validationResult",13
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",52,"blackListTokenModel;blacklistTokenModel;email;errors;isMatch;next;password;req;res;token;user;userModel;userService;validationResult",14
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",53,"blackListTokenModel;blacklistTokenModel;email;errors;isMatch;next;password;req;res;token;user;userModel;userService;validationResult",14
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",54,"blackListTokenModel;blacklistTokenModel;email;errors;isMatch;next;password;req;res;token;user;userModel;userService;validationResult",14
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",55,"blackListTokenModel;blacklistTokenModel;email;errors;isMatch;next;password;req;res;token;user;userModel;userService;validationResult",14
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",56,"blackListTokenModel;blacklistTokenModel;userModel;userService;validationResult",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",57,"blackListTokenModel;blacklistTokenModel;next;req;res;userModel;userService;validationResult",8
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",58,"blackListTokenModel;blacklistTokenModel;next;req;res;userModel;userService;validationResult",8
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",59,"blackListTokenModel;blacklistTokenModel;next;req;res;userModel;userService;validationResult",8
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",60,"blackListTokenModel;blacklistTokenModel;userModel;userService;validationResult",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",61,"blackListTokenModel;blacklistTokenModel;next;req;res;userModel;userService;validationResult",8
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",62,"blackListTokenModel;blacklistTokenModel;next;req;res;userModel;userService;validationResult",8
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",63,"blackListTokenModel;blacklistTokenModel;next;req;res;token;userModel;userService;validationResult",9
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",64,"blackListTokenModel;blacklistTokenModel;next;req;res;token;userModel;userService;validationResult",9
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",65,"blackListTokenModel;blacklistTokenModel;next;req;res;token;userModel;userService;validationResult",9
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",66,"blackListTokenModel;blacklistTokenModel;next;req;res;token;userModel;userService;validationResult",9
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",1,"mongoose",1
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",2,"bcrypt;mongoose",2
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",3,"bcrypt;jwt;mongoose",3
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",4,"bcrypt;jwt;mongoose",3
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",5,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",6,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",7,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",8,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",9,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",10,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",11,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",12,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",13,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",14,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",15,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",16,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",17,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",18,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",19,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",20,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",21,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",22,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",23,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",24,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",25,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",26,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",27,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",28,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",29,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",30,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",31,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",32,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",33,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",34,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",35,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",36,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",37,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",38,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",39,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",40,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",41,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",42,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",43,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",44,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",45,"bcrypt;driverSchema;jwt;mongoose",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/driver.model.js",46,"bcrypt;driverSchema;jwt;mongoose",4
